Date,Close/Last,Volume,Open,High,Low
11/09/2021,63.4,16385940,65.27,65.629,61.41
11/08/2021,63.54,15603890,62.1,64.71,61.49
11/05/2021,60.91,19536050,60.04,62.4,59.21
11/04/2021,59.08,20539240,55.42,59.829,54.571
11/03/2021,53.67,11472210,52.07,53.81,51.42
11/02/2021,51.82,12421130,49.82,51.82,49.81
11/01/2021,49.96,14647450,47.79,49.96,47.45
10/29/2021,47.65,12735040,45.972,47.65,45.62
10/28/2021,47,15904400,45.84,47.1,45.57
10/27/2021,44.09,13076310,44.23,45.61,43.56
10/26/2021,44.96,12067780,46.02,46.45,44.54
10/25/2021,45.06,9706705,44.6,45.665,44.16
10/22/2021,44.05,12691660,44.84,46.23,43.77
10/21/2021,45.59,10019680,43.33,45.7198,43.3
10/20/2021,44.2,9908218,44.13,44.73,43.63
10/19/2021,44.43,11476180,43.11,44.48,42.63
10/18/2021,42.86,8498165,41.14,42.97,40.44
10/15/2021,41.84,10988460,42.03,42.285,41.3
10/14/2021,41.05,14800930,39.64,41.08,39.3401
10/13/2021,37.65,11660570,37.7,38.3,37.24
10/12/2021,37.05,19847440,39.21,39.31,36.47
10/11/2021,38.38,9446410,38.76,40.39,38.36
10/08/2021,39.33,10296980,40.9,41.07,39.08
10/07/2021,40.39,13234340,40.53,42.0293,40.27
10/06/2021,39.06,16403230,37.32,39.14,36.92
10/05/2021,38.65,15194130,37.6,39.39,37.255
10/04/2021,37.02,20555390,39.31,39.5198,36.57
10/01/2021,40.07,16368720,40.5,40.7,38.06
09/30/2021,40.04,14470240,41.06,41.95,40
09/29/2021,40.12,19889670,42.56,42.68,39.78
09/28/2021,42.23,23988050,44.9,45.79,42.05
09/27/2021,47.69,10241260,46.52,48.1801,45.56
09/24/2021,47.95,7464960,46.86,48.23,46.78
09/23/2021,48.1,11819560,46.892,48.55,46.42
09/22/2021,46.26,11093240,44.46,46.57,44.01
09/21/2021,43.6,9972389,44.04,44.52,42.35
09/20/2021,43.3,19454630,43.75,44.197,41.16
09/17/2021,46.75,14478870,48.64,48.65,45.97
09/16/2021,49.07,9094405,47.74,49.53,47.02
09/15/2021,48.59,9321847,48.06,48.7,46.76
09/14/2021,47.87,10129230,48.4,48.97,47.14
09/13/2021,47.87,11356440,47.8,48.17,45.9295
09/10/2021,46.59,14399650,46.64,48.63,46.51
09/09/2021,45.55,8642994,44.91,46.26,44.89
09/08/2021,44.95,11787430,46.1,46.3699,43.76
09/07/2021,46.77,5666382,47.361,47.41,45.92
09/03/2021,47.24,7380129,46.14,47.85,45.96
09/02/2021,46.3,7189762,46.35,46.72,45.7
09/01/2021,45.96,7246919,47.23,47.3,45.83
08/31/2021,46.55,9620821,47.77,47.965,45.37
08/30/2021,47.74,10291140,47.78,49,47.125
08/27/2021,47.3,12358320,44.85,47.5,44.69
08/26/2021,44.68,9529406,44.52,45.33,43.705
08/25/2021,44.78,10125850,44.18,45.65,44.11
08/24/2021,43.73,8557113,43.98,44.44,43.38
08/23/2021,43.69,12229030,41.4,43.79,41.4
08/20/2021,40.43,10732250,39.96,40.75,39.01
08/19/2021,39.63,14855290,38.18,40.26,37.14
08/18/2021,38.66,10760150,40.29,40.955,38.58
08/17/2021,40.46,13983660,41.93,41.9476,39.34
08/16/2021,43.01,6664531,42.91,43.43,41.93
08/13/2021,43.48,7655754,42.5,43.6,42.285
08/12/2021,42.62,9758813,43.44,43.5,41.56
08/11/2021,44.17,10016630,45.06,45.12,42.4298
08/10/2021,44.45,9994504,46.367,46.57,43.5
08/09/2021,46.15,5943661,46.9,47.27,45.54
08/06/2021,46.63,6201980,46.33,47.27,46.2
08/05/2021,47.17,8580697,48.17,48.1901,46.44
08/04/2021,47.61,13768860,46.16,48.1499,46.05
08/03/2021,45.97,10801370,45.29,45.9784,43.61
08/02/2021,45.21,17018650,45.19,46.89,44.88
07/30/2021,44.39,13599230,42.19,44.5,42.072
07/29/2021,43.45,15318440,41.23,43.6899,41.23
07/28/2021,41.18,12983040,39.54,41.5,39.02
07/27/2021,39.15,17917420,40.8,40.852,36.71
07/26/2021,41.45,7703459,40.5835,41.79,40.5835
07/23/2021,41.55,8740443,41.29,41.61,39.95
07/22/2021,40.74,8148866,40.9,41.62,39.9
07/21/2021,41.85,12599670,38.67,41.85,38.6
07/20/2021,38.34,12487170,37.24,39.08,35.8505
07/19/2021,36.84,17527780,35.21,36.93,34.71
07/16/2021,36.76,14425570,40.03,40.45,36.59
07/15/2021,39.42,14968010,41.79,41.8012,38.55
07/14/2021,42.16,15361470,43.54,44.79,41.86
07/13/2021,42.62,9289264,42.75,43.315,42.1
07/12/2021,43.33,9021765,42.16,43.33,41.81
07/09/2021,41.77,9799611,40.18,41.94,39.25
07/08/2021,39.78,14764350,38.55,40.3798,37.76
07/07/2021,41.24,10623830,43.8,43.91,40.69
07/06/2021,43.04,10020290,43.64,44.14,41.36
07/02/2021,43.32,10933300,43.57,43.7,42.25
07/01/2021,42.57,11578170,44.15,44.37,42.13
06/30/2021,44.54,9830905,44.37,44.7267,43.67
06/29/2021,44.64,13090200,43.31,44.69,42.88
06/28/2021,43.65,18209310,41.5,44.08,41.45
06/25/2021,40.66,9244122,41.17,41.69,40.29
06/24/2021,41.08,12716790,39.883,41.23,39.88
06/23/2021,39.05,8615363,38.5999,39.63,38.5999
06/22/2021,38.6,10500360,37.9,38.825,37.4
06/21/2021,38.12,12721960,37.55,38.1617,36.59
06/18/2021,37.32,21346620,39.29,39.58,36.75
06/17/2021,40.31,18466160,38.69,41.17,38.65
06/16/2021,39.18,18089260,40.49,40.89,38.07
06/15/2021,40.04,13301430,40.8,41.6,39.74
06/14/2021,41.17,18513250,39.81,41.17,39.0599
06/11/2021,39.49,7971497,39.05,39.49,38.57
06/10/2021,39.04,17601940,37.8,39.37,37.52
06/09/2021,37.7,11721000,38.56,38.89,37.62
06/08/2021,38.17,13475840,39.801,39.97,37.3
06/07/2021,38.91,11453810,39.26,39.44,38.15
06/04/2021,39.74,15960520,38.08,39.99,38.05
06/03/2021,37.12,16945810,37.83,38.28,36.515
06/02/2021,39.19,12370470,38.27,39.58,37.91
06/01/2021,38.34,18159370,39.52,40.54,37.745
05/28/2021,38.78,15891410,38.067,39.27,37.88
05/27/2021,37.86,16449390,36.879,38.26,36.71
05/26/2021,37.18,13436680,37.03,37.68,36.185
05/25/2021,36.94,19468180,37.33,37.7497,36.245
05/24/2021,36.53,21577550,35,37.14,34.91
05/21/2021,34.14,25100330,35.3,35.3401,33.81
05/20/2021,34.64,28593190,32.75,34.98,32.67
05/19/2021,32.05,29208670,28.46,32.1699,28.22
05/18/2021,30.29,15262560,31.71,32.08,30.22
05/17/2021,31.1,19121210,30.98,31.1,29.43
05/14/2021,31.93,21881320,30.49,32.68,29.58
05/13/2021,29.33,25519970,29.53,30.497,28.3
05/12/2021,28.13,34045690,30.1,30.56,27.81
05/11/2021,32.11,29951280,29.02,32.31,28.69
05/10/2021,31.93,25439750,36,36,31.88
05/07/2021,36.93,16784570,36.51,37.55,35.911
05/06/2021,35.4,15387320,34.2,35.4,33.16
05/05/2021,34.55,7952189,35.07,35.79,33.7499
05/04/2021,33.97,24427980,34.41,34.45,32
05/03/2021,35.61,13899920,37.72,37.789,35.0793
04/30/2021,36.9,19385840,38.347,39.17,36.56
04/29/2021,40.31,14812520,41.2,41.22,38.48
04/28/2021,39.42,12753570,40.68,40.69,39.31
04/27/2021,41.34,12557180,42.78,42.91,40.955
04/26/2021,42.21,13528460,40.09,42.455,40
04/23/2021,40.15,13252200,38.32,40.57,38.3
04/22/2021,37.98,20962130,40.37,40.61,37.27
04/21/2021,40.75,15160170,37.93,40.77,37.34
04/20/2021,37.71,13892050,39.01,39.53,37.0398
04/19/2021,39.6,20268200,41.77,42.29,38.25
04/16/2021,42.75,11016240,43.51,43.64,42.481
04/15/2021,43.47,13642030,42.35,43.66,41.62
04/14/2021,41.27,12838650,42.39,43.47,40.63
04/13/2021,42.69,14056430,44,44.13,41.57
04/12/2021,43.09,14926030,43.72,43.79,41.8
04/09/2021,44.48,10748470,43.83,44.5,43.13
04/08/2021,44.79,12957080,44.75,45,43.6
04/07/2021,43.38,12421780,43.99,44,42.34
04/06/2021,43.38,17961530,44.119,44.97,42.07
04/05/2021,45,26445830,44.525,45.3,42.9086
04/01/2021,42.41,27795510,40.05,42.44,40.05
03/31/2021,38.21,25362450,36.43,38.98,36.35
03/30/2021,35.52,17925990,35.12,35.78,34.285
03/29/2021,35.79,28422650,36.384,36.91,34.5
03/26/2021,37.69,35670260,32.81,37.74,32.71
03/25/2021,32.81,30291420,30.93,33.1799,30.1
03/24/2021,32.59,26195900,35.63,36.13,32.55
03/23/2021,34.03,26947020,37.37,37.5,33.51
03/22/2021,37,23763830,35.94,38.2,35.62
03/19/2021,34.75,20614970,34.0097,35.6501,32.38
03/18/2021,33.71,25847350,36.76,36.92,33.45
03/17/2021,38.42,21743540,35.28,39.15,34.51
03/16/2021,36.98,27404930,36.83,38.59,36.23
03/15/2021,35.57,15448800,33.8,35.63,33.18
03/12/2021,33.42,17047630,32.52,33.59,31.85
03/11/2021,34.47,19094330,33.3,35.04,32.85
03/10/2021,30.72,19953540,34.19,34.19,30.62
03/09/2021,32.45,19994850,30.34,33.08,30
